year,code,name,region,price_usd
2016,EUZ,Euro area,europe,5.37
2017,EUZ,Euro area,europe,5.27
2018,EUZ,Euro area,europe,5.27
2019,EUZ,Euro area,europe,5.49
2020,EUZ,Euro area,europe,5.66
2021,EUZ,Euro area,europe,5.5
2022,EUZ,Euro area,europe,5.63
2023,EUZ,Euro area,europe,6.03
2024,EUZ,Euro area,europe,5.95
2025,EUZ,Euro area,europe,5.92
2010,MEX,Mexico,americas,2.81
2011,MEX,Mexico,americas,3.0
2012,MEX,Mexico,americas,3.17
2013,MEX,Mexico,americas,3.36
2014,MEX,Mexico,americas,3.38
2015,MEX,Mexico,americas,3.49
2016,MEX,Mexico,americas,3.55
2017,MEX,Mexico,americas,3.83
2018,MEX,Mexico,americas,3.81
2019,MEX,Mexico,americas,4.13
2020,MEX,Mexico,americas,4.22
2021,MEX,Mexico,americas,4.06
2022,MEX,Mexico,americas,4.22
2023,MEX,Mexico,americas,4.47
2024,MEX,Mexico,americas,4.4
2025,MEX,Mexico,americas,4.47
2010,KOR,South Korea,asia,2.08
2011,KOR,South Korea,asia,2.24
2012,KOR,South Korea,asia,2.44
2013,KOR,South Korea,asia,2.58
2014,KOR,South Korea,asia,2.58
2015,KOR,South Korea,asia,2.68
2016,KOR,South Korea,asia,2.87
2017,KOR,South Korea,asia,2.98
2018,KOR,South Korea,asia,3.1
2019,KOR,South Korea,asia,3.28
2020,KOR,South Korea,asia,3.37
2021,KOR,South Korea,asia,3.56
2022,KOR,South Korea,asia,3.42
2023,KOR,South Korea,asia,3.61
2024,KOR,South Korea,asia,3.69
2025,KOR,South Korea,asia,3.95
2010,AUS,Australia,oceania,3.36
2011,AUS,Australia,oceania,3.58
2012,AUS,Australia,oceania,3.68
2013,AUS,Australia,oceania,3.74
2014,AUS,Australia,oceania,3.83
2015,AUS,Australia,oceania,4.14
2016,AUS,Australia,oceania,4.08
2017,AUS,Australia,oceania,4.31
2018,AUS,Australia,oceania,4.3
2019,AUS,Australia,oceania,4.21
2020,AUS,Australia,oceania,4.63
2021,AUS,Australia,oceania,4.66
2022,AUS,Australia,oceania,4.8
2023,AUS,Australia,oceania,4.87
2024,AUS,Australia,oceania,4.92
2025,AUS,Australia,oceania,4.74
2010,IND,India,asia,1.63
2011,IND,India,asia,1.75
2012,IND,India,asia,1.78
2013,IND,India,asia,1.89
2014,IND,India,asia,2.06
2015,IND,India,asia,2.01
2016,IND,India,asia,2.15
2017,IND,India,asia,2.16
2018,IND,India,asia,2.21
2019,IND,India,asia,2.37
2020,IND,India,asia,2.43
2021,IND,India,asia,2.41
2022,IND,India,asia,2.5
2023,IND,India,asia,2.44
2024,IND,India,asia,2.52
2025,IND,India,asia,2.72
2010,ZAF,South Africa,africa,1.71
2011,ZAF,South Africa,africa,1.85
2012,ZAF,South Africa,africa,1.83
2013,ZAF,South Africa,africa,1.99
2014,ZAF,South Africa,africa,2.06
2015,ZAF,South Africa,africa,2.19
2016,ZAF,South Africa,africa,2.14
2017,ZAF,South Africa,africa,2.35
2018,ZAF,South Africa,africa,2.26
2019,ZAF,South Africa,africa,2.34
2020,ZAF,South Africa,africa,2.48
2021,ZAF,South Africa,africa,2.56
2022,ZAF,South Africa,africa,2.54
2023,ZAF,South Africa,africa,2.57
2024,ZAF,South Africa,africa,2.8
2025,ZAF,South Africa,africa,2.72
2010,CAN,Canada,americas,3.35
2011,CAN,Canada,americas,3.51
2012,CAN,Canada,americas,3.72
2013,CAN,Canada,americas,3.86
2014,CAN,Canada,americas,4.14
2015,CAN,Canada,americas,4.05
2016,CAN,Canada,americas,4.36
2017,CAN,Canada,americas,4.33
2018,CAN,Canada,americas,4.52
2019,CAN,Canada,americas,4.75
2020,CAN,Canada,americas,4.74
2021,CAN,Canada,americas,4.87
2022,CAN,Canada,americas,5.17
2023,CAN,Canada,americas,5.01
2024,CAN,Canada,americas,5.29
2025,CAN,Canada,americas,5.65
